,age,gender,security_no,region_category,membership_category,joining_date,joined_through_referral,referral_id,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score
8386,19,F,J5IFEJS,City,Premium Membership,2016-08-16,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,20:24:57,12,112.91,2671.21,21.0,738.56,No,Yes,No,Not Applicable,Poor Website,0
8387,55,F,E2FQOHX,,No Membership,2015-03-15,Yes,CID51875,Credit/Debit Card Offers,Desktop,Mobile_Data,11:00:44,14,171.61,8785.6,19.0,538.28,No,Yes,Yes,Solved,Poor Website,1
8388,24,M,OHZ3G09,City,Basic Membership,2015-08-15,?,CID12690,Without Offers,Both,Mobile_Data,05:30:56,13,221.39,21122.95,24.0,651.35,No,Yes,Yes,Unsolved,No reason specified,0
8389,28,M,8QPFH3X,City,Premium Membership,2017-07-08,?,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Wi-Fi,13:49:59,22,53.08,67691.79,9.0,439.77847773854415,Yes,No,No,Not Applicable,Reasonable Price,0
8390,43,F,B646XEZ,,No Membership,2015-10-09,Yes,CID53553,Without Offers,?,Mobile_Data,22:01:55,-999,90.54,6343.3,6.0,653.39,Yes,No,No,Not Applicable,Too many ads,1
8391,57,M,FQSDJPV,City,No Membership,2015-10-27,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,10:47:49,7,-645.1654976746379,42996.07,8.0,719.86,Yes,No,No,Not Applicable,Poor Customer Service,0
8392,63,M,TSBNOQO,,Gold Membership,2017-01-15,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,16:10:40,8,405.82,3818.03,5.0,833.62,Yes,No,No,Not Applicable,Products always in Stock,0
8393,61,M,JDY5RFJ,City,Silver Membership,2017-06-30,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,02:43:53,10,52.49,41560.43,29.0,,No,Yes,No,Not Applicable,No reason specified,0
8394,51,M,3P3MAUD,Town,Gold Membership,2016-12-11,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Fiber_Optic,17:17:15,11,41.54,85005.14,6.0,819.46,No,Yes,No,Not Applicable,User Friendly Website,0
8395,33,M,1EAAK19,Town,Platinum Membership,2016-07-19,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,17:36:09,17,-525.5554814183541,41670.46,39.06824636154511,748.57,Yes,Yes,Yes,Solved,User Friendly Website,0
8396,37,M,QHCRUKB,Town,Premium Membership,2015-05-24,Yes,CID21204,Credit/Debit Card Offers,Desktop,Wi-Fi,04:12:31,13,208.56,22923.99,18.0,966.4825054731998,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,0
8397,15,M,VXN0QCR,,Basic Membership,2015-04-21,Yes,CID44607,Gift Vouchers/Coupons,Desktop,Fiber_Optic,16:49:10,14,281.36,35441.0,17.73176489975007,671.78,Yes,No,No,Not Applicable,No reason specified,1
8398,53,F,W1KCMEZ,City,Premium Membership,2017-07-09,Yes,CID59156,Gift Vouchers/Coupons,Both,Fiber_Optic,12:49:21,11,754.96,64512.03,4.0,819.84,No,Yes,No,Not Applicable,User Friendly Website,0
8399,46,M,B3HE0IX,Town,Gold Membership,2015-09-21,?,CID7194,Credit/Debit Card Offers,Smartphone,Wi-Fi,15:50:27,6,34.88,36983.01,27.0,719.81,Yes,No,No,Not Applicable,Poor Website,0
8400,56,M,6B1NOLK,Town,Platinum Membership,2015-12-13,Yes,CID57741,Gift Vouchers/Coupons,Smartphone,Wi-Fi,16:54:30,12,42.05,25472.97,11.0,736.24,No,Yes,No,Not Applicable,Too many ads,0
8401,62,M,K3Z5F9B,Town,Basic Membership,2015-01-19,Yes,CID8146,Without Offers,Desktop,Fiber_Optic,16:21:25,17,58.76,32785.66,32.506707503138,170.01655296943403,Yes,No,No,Not Applicable,Poor Customer Service,1
8402,12,F,LL5C0GO,City,Gold Membership,2016-10-29,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,12:42:10,15,30.83,10838.91,27.0,774.82,No,Yes,Yes,Unsolved,Poor Product Quality,0
8403,63,F,GL5WD5P,,Basic Membership,2017-12-01,Yes,CID59135,Without Offers,Both,Mobile_Data,23:11:24,12,550.86,49547.94,24.0,698.46,Yes,Yes,No,Not Applicable,Poor Website,1
8404,22,M,01IS14Y,Town,No Membership,2017-08-12,No,xxxxxxxx,Without Offers,Desktop,Mobile_Data,09:30:31,19,31.22,34385.72,7.0,623.92,Yes,No,Yes,Unsolved,Poor Product Quality,1
8405,55,M,DBIGRJJ,City,No Membership,2015-09-11,Yes,CID9795,Credit/Debit Card Offers,Smartphone,Fiber_Optic,00:46:23,9,1246.73,42080.89,25.0,688.69,Yes,Yes,Yes,No Information Available,Poor Product Quality,1
8406,37,M,50BD2ID,Village,No Membership,2015-12-07,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,17:32:28,12,141.62,8254.49,21.0,542.62,Yes,No,Yes,Unsolved,Poor Customer Service,1
8407,12,M,I6WL88K,Town,No Membership,2017-06-21,Yes,CID49303,Credit/Debit Card Offers,?,Fiber_Optic,04:15:28,14,187.88,45000.3,Error,,Yes,No,No,Not Applicable,Poor Product Quality,1
8408,43,M,LYNWJJN,,Basic Membership,2017-12-16,Yes,CID21982,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,18:56:30,15,47.22,982.21,33.56109588631429,667.39,No,Yes,No,Not Applicable,Poor Website,1
8409,20,M,KYSOPQF,Town,Silver Membership,2015-07-17,Yes,CID8297,Without Offers,Smartphone,Wi-Fi,07:47:50,12,60.2,40711.87,28.0,725.66,No,Yes,No,Not Applicable,Poor Customer Service,0
8410,53,F,2NZHUM4,Town,Silver Membership,2016-10-08,?,CID15669,Credit/Debit Card Offers,Desktop,Mobile_Data,14:34:31,4,33.9,44703.8,25.0,737.78,No,Yes,No,Not Applicable,No reason specified,0
8411,32,F,908RZFB,Town,Basic Membership,2016-01-04,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,14:31:04,-999,301.03,5839.4,6.0,526.01,No,Yes,No,Not Applicable,Too many ads,1
8412,30,F,VOUCX11,Village,No Membership,2017-01-27,?,CID17934,Without Offers,Smartphone,Mobile_Data,13:18:29,11,128.62,34388.15,21.0,567.53,No,Yes,No,Not Applicable,Poor Product Quality,1
8413,36,M,TT9K1YQ,Town,No Membership,2015-11-14,Yes,CID55221,Without Offers,Desktop,Mobile_Data,23:56:29,22,99.9,19549.59,25.0,646.43,No,Yes,Yes,Solved in Follow-up,Poor Product Quality,1
8414,61,F,GJ3MASX,Town,No Membership,2016-05-04,?,CID43247,Gift Vouchers/Coupons,Desktop,Fiber_Optic,16:58:22,14,1193.74,16741.4,27.0,560.29,Yes,No,Yes,No Information Available,Poor Customer Service,0
8415,18,F,1BE38DX,City,No Membership,2017-12-12,Yes,CID1458,Without Offers,?,Wi-Fi,17:32:32,14,434.78,13482.11,28.0,594.66,No,Yes,No,Not Applicable,Poor Product Quality,1
8416,55,M,62BKWV9,Town,Basic Membership,2016-08-20,No,xxxxxxxx,Without Offers,?,Mobile_Data,03:38:53,18,179.47,25860.74,8.0,385.2167533704524,Yes,No,Yes,No Information Available,Poor Customer Service,1
8417,54,F,S8L7R0P,Town,Basic Membership,2015-08-14,No,xxxxxxxx,Credit/Debit Card Offers,Both,Mobile_Data,09:29:57,14,247.51,3291.83,53.849408459404145,660.52,Yes,Yes,No,Not Applicable,No reason specified,1
8418,15,F,U5KB9DL,Town,Gold Membership,2015-10-15,Yes,CID13211,Credit/Debit Card Offers,Desktop,Fiber_Optic,20:58:35,8,1312.88,73886.77,4.0,847.11,Yes,Yes,No,Not Applicable,Products always in Stock,0
8419,56,F,GXY5JL3,,No Membership,2016-09-29,?,CID61956,Without Offers,Desktop,Mobile_Data,05:58:24,18,141.74,24397.55,29.0,551.35,No,Yes,No,Not Applicable,No reason specified,1
8420,24,M,GDN1YZ1,,No Membership,2016-01-18,?,CID48407,Without Offers,Desktop,Wi-Fi,14:29:23,22,63.07,19438.9,6.0,,No,Yes,No,Not Applicable,Poor Customer Service,1
8421,38,M,VTQ8F8W,City,Basic Membership,2017-06-26,?,CID42804,Gift Vouchers/Coupons,Both,Fiber_Optic,16:45:33,11,369.27,45770.09,6.0,699.64,Yes,No,Yes,Solved in Follow-up,Too many ads,1
8422,17,F,N3W16VK,City,Silver Membership,2017-11-02,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,22:01:34,2,84.01,5741.29,29.0,629.33,No,Yes,No,Not Applicable,Poor Website,1
8423,50,F,YO7UU4X,Village,No Membership,2017-06-07,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,08:24:24,16,82.26,23920.64,16.0,910.2279557085294,No,Yes,No,Not Applicable,No reason specified,1
8424,14,F,FK194XV,Town,Gold Membership,2017-11-21,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,14:54:44,18,141.73,3552.14,6.0,1093.0767493114597,No,Yes,Yes,Solved,Too many ads,1
8425,19,F,2L6BJKI,,Basic Membership,2015-07-11,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Mobile_Data,16:41:36,14,1068.2271717859774,5985.79,22.0,273.25578279672567,No,Yes,No,Not Applicable,Poor Website,1
8426,58,F,66BJFOP,Town,No Membership,2016-04-01,Yes,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,23:38:49,2,531.14,4839.44,29.0,690.56,No,Yes,No,Not Applicable,Too many ads,1
8427,26,F,QPR87HQ,,Gold Membership,2017-01-02,Yes,CID35239,Credit/Debit Card Offers,Both,Wi-Fi,16:39:52,6,209.52,39055.79,25.0,752.87,No,Yes,Yes,No Information Available,Too many ads,0
8428,15,F,89EG0UE,,Gold Membership,2016-10-03,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,22:08:26,25,-638.6945828111161,38236.2,23.0,719.87,Yes,Yes,Yes,Solved,Too many ads,0
8429,39,M,VU5SM5H,Village,Basic Membership,2015-02-10,No,xxxxxxxx,Without Offers,Both,Fiber_Optic,01:19:53,4,391.21,30745.45,10.0,618.72,Yes,No,Yes,No Information Available,Poor Customer Service,1
8430,28,F,CDL8Q9W,Town,Gold Membership,2016-05-29,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,23:48:50,-999,193.99,50790.3,5.0,,Yes,No,Yes,Unsolved,User Friendly Website,0
8431,22,M,7MR9243,City,No Membership,2015-11-07,Yes,CID49376,Without Offers,Desktop,Fiber_Optic,19:54:19,13,54.17,4509.52,13.0,647.91,No,Yes,No,Not Applicable,Poor Customer Service,1
8432,60,M,71PGUAT,,No Membership,2015-06-04,?,CID54301,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,09:55:51,23,90.53,48863.58,16.0,661.5,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,1
8433,60,M,5QH9WUX,City,Premium Membership,2016-08-20,Yes,CID40981,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,00:24:20,14,824.22,92997.49,16.0,842.52,Yes,Yes,No,Not Applicable,Quality Customer Care,0
8434,22,M,LDVLZ9P,Village,Premium Membership,2016-10-25,Yes,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,16:12:55,13,61.79,10279.43,17.0,814.93,No,Yes,Yes,No Information Available,Reasonable Price,0
8435,31,M,J728GDR,Town,Basic Membership,2017-12-22,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,01:56:47,15,307.64,26678.84,9.0,,Yes,No,No,Not Applicable,Poor Customer Service,1
8436,56,F,XMY7TD8,City,Gold Membership,2015-09-29,?,CID56217,Gift Vouchers/Coupons,Both,Mobile_Data,09:36:22,14,226.73,28472.47,10.0,705.59,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,1
8437,23,M,OJ4LA5M,City,Premium Membership,2017-12-07,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,01:01:22,19,31.07,11658.64,20.0,706.66,Yes,No,Yes,Solved,No reason specified,0
8438,22,M,XEWO8BU,City,Gold Membership,2015-06-21,Yes,CID190,Without Offers,Both,Fiber_Optic,19:39:15,4,699.27,13562.75,7.0,1080.9906754708388,Yes,Yes,Yes,No Information Available,Too many ads,0
8439,29,M,CLAG324,Town,No Membership,2016-05-02,No,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,15:42:55,24,165.97,45657.42,24.0,,No,Yes,No,Not Applicable,Poor Product Quality,1
8440,11,F,08U5KQO,Town,Basic Membership,2015-01-19,Yes,CID60794,Without Offers,Desktop,Wi-Fi,20:24:42,15,69.51,43707.21,8.0,676.41,Yes,No,No,Not Applicable,Too many ads,1
8441,17,M,608ETA2,Town,Silver Membership,2016-07-22,Yes,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Fiber_Optic,01:58:24,21,174.49,24379.39,13.0,282.1770550314528,Yes,No,No,Not Applicable,Poor Website,1
8442,59,M,80A3RP3,City,Basic Membership,2015-05-12,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,10:35:58,16,56.29,14358.18,14.0,647.76,Yes,No,No,Not Applicable,No reason specified,1
8443,38,M,0IZ4NGU,Village,Silver Membership,2016-08-10,Yes,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,21:16:22,21,116.12,45330.73,28.0,737.71,No,Yes,No,Not Applicable,Poor Customer Service,0
8444,62,F,UESU3U1,City,Platinum Membership,2015-08-07,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,17:34:03,11,111.44,27742.1,7.0,749.68,Yes,No,No,Not Applicable,Poor Customer Service,0
8445,38,F,O93410N,City,Basic Membership,2015-09-28,Yes,CID60778,Without Offers,Smartphone,Wi-Fi,11:03:02,16,118.97,24506.45,27.0,1076.2195227711004,No,Yes,No,Not Applicable,Too many ads,1
8446,35,M,LE2H1QH,Town,Gold Membership,2016-02-07,Yes,CID24231,Without Offers,Desktop,Fiber_Optic,05:06:01,4,66.64,49381.98,12.0,,No,Yes,Yes,Unsolved,Poor Product Quality,0
8447,42,M,HQ316O0,,Gold Membership,2016-05-04,Yes,CID16539,Without Offers,Desktop,Mobile_Data,02:06:17,11,33.81,26392.94,Error,,Yes,No,No,Not Applicable,No reason specified,0
8448,19,M,ZPC5RTG,,No Membership,2016-11-03,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,07:49:43,8,149.83,10798.56,23.0,639.27,No,Yes,No,Not Applicable,Poor Product Quality,1
8449,18,M,JZVY8H6,City,Basic Membership,2015-03-31,Yes,CID39535,Gift Vouchers/Coupons,Desktop,Mobile_Data,10:42:51,17,97.94,13975.5,5.0,1004.464788272402,Yes,No,Yes,Solved in Follow-up,Poor Product Quality,1
8450,12,F,AR30ZO5,Town,No Membership,2016-08-22,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,17:30:43,20,165.98,10800.0,7.0,610.06,No,Yes,No,Not Applicable,Poor Customer Service,1
8451,30,F,WUGN3BL,,Silver Membership,2015-12-22,No,xxxxxxxx,Without Offers,?,Mobile_Data,07:35:52,14,85.08,35764.54,Error,1266.4171679784831,Yes,No,No,Not Applicable,Too many ads,1
8452,35,F,FYVMX9F,City,Silver Membership,2015-06-05,Yes,xxxxxxxx,Without Offers,?,Mobile_Data,03:18:43,4,233.24,40980.06,28.0,1342.7959861769152,No,Yes,No,Not Applicable,Too many ads,0
8453,10,F,OP69SBT,Village,Gold Membership,2015-02-12,Yes,CID25697,Without Offers,Smartphone,Fiber_Optic,17:41:17,19,32.98,28093.5,26.0,691.75,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,1
8454,61,F,31K13XX,Village,No Membership,2016-12-19,?,CID24999,Without Offers,Desktop,Wi-Fi,23:11:35,6,234.43,40538.69,10.0,663.15,No,Yes,Yes,No Information Available,Poor Customer Service,1
8455,33,M,52U7YJY,City,Platinum Membership,2016-08-17,Yes,CID32380,Gift Vouchers/Coupons,Both,Fiber_Optic,07:10:21,20,1203.4383816878242,16971.48,9.0,840.44,Yes,Yes,Yes,No Information Available,Quality Customer Care,0
8456,18,F,9IH07JZ,City,No Membership,2017-07-26,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,08:48:38,16,30.74,36841.48,13.0,631.72,No,Yes,Yes,Unsolved,Poor Website,1
8457,21,M,ZOVBUGO,Town,Gold Membership,2015-10-14,Yes,CID28564,Credit/Debit Card Offers,Smartphone,Fiber_Optic,23:42:52,19,143.33,10823.54,Error,626.85,Yes,No,Yes,No Information Available,Poor Customer Service,1
8458,61,F,GW09GCJ,City,Basic Membership,2017-03-07,?,CID60875,Credit/Debit Card Offers,Desktop,Fiber_Optic,01:49:12,12,-938.0508640373192,37319.03,20.0,137.662730709867,No,Yes,No,Not Applicable,Poor Product Quality,1
8459,49,F,2GJ79TB,City,Basic Membership,2015-06-03,Yes,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,09:24:14,15,-914.2993654843611,35931.66,14.0,621.89,No,Yes,No,Not Applicable,No reason specified,1
8460,44,F,O9C587R,Village,Basic Membership,2016-03-25,Yes,CID47152,Credit/Debit Card Offers,Smartphone,Wi-Fi,15:00:17,4,339.42,28567.74,13.0,655.81,No,Yes,No,Not Applicable,Poor Customer Service,1
8461,55,F,UOAJ9SV,Town,No Membership,2016-11-15,Yes,CID50258,Gift Vouchers/Coupons,Both,Mobile_Data,12:50:20,4,408.58,35973.4,7.0,655.46,Yes,Yes,No,Not Applicable,No reason specified,1
8462,38,M,9TUTI3C,Town,Silver Membership,2017-10-13,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,02:41:01,13,1085.836045235662,48915.98,16.0,,Yes,No,Yes,Solved,No reason specified,1
8463,61,F,HNJPINR,Town,Basic Membership,2017-08-14,Yes,CID52934,Credit/Debit Card Offers,?,Mobile_Data,17:14:53,13,101.88,23032.79,7.0,687.55,Yes,No,Yes,Unsolved,Poor Website,1
8464,34,M,3ZF0OHQ,City,Gold Membership,2015-09-20,Yes,CID59859,Credit/Debit Card Offers,Desktop,Wi-Fi,17:35:51,11,1000.58,13282.4,10.0,757.08,Yes,Yes,No,Not Applicable,Poor Website,0
8465,63,F,RQ2V1EJ,Village,No Membership,2017-03-01,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,15:09:42,19,172.04,40573.26,7.0,599.55,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,1
8466,24,M,JV4UPJM,City,Basic Membership,2015-08-14,Yes,CID26896,Credit/Debit Card Offers,Desktop,Mobile_Data,19:25:37,10,-886.646178605257,39842.01,29.0,652.94,Yes,Yes,No,Not Applicable,Poor Product Quality,1
8467,14,M,ME8ONSY,City,Platinum Membership,2015-02-11,No,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Mobile_Data,00:47:24,9,103.4,57157.75,Error,769.26,No,Yes,Yes,No Information Available,Reasonable Price,0
8468,43,M,LWPE8VY,City,Basic Membership,2017-01-03,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,07:59:07,15,168.29,15384.84,Error,661.57,No,Yes,No,Not Applicable,Poor Product Quality,1
8469,48,F,S8IYW7T,Town,Platinum Membership,2015-12-15,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Fiber_Optic,08:31:39,21,315.48,16982.58,29.0,705.55,Yes,Yes,No,Not Applicable,Poor Website,0
8470,11,F,7AME9YP,Town,Premium Membership,2016-01-28,No,xxxxxxxx,Credit/Debit Card Offers,Both,Mobile_Data,03:12:55,5,298.19,17925.29,22.0,719.32,Yes,No,Yes,Unsolved,Poor Product Quality,0
8471,49,F,67N5ER3,Town,Gold Membership,2017-01-11,Yes,CID1796,Without Offers,Desktop,Mobile_Data,15:39:16,7,441.89,32068.33,29.22761992695438,797.56,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0
8472,11,F,BLMM4AW,Town,No Membership,2017-01-31,Yes,CID37684,Without Offers,Smartphone,Fiber_Optic,09:41:45,22,177.68,38422.35,18.0,,Yes,No,Yes,Solved in Follow-up,No reason specified,1
8473,21,M,RZRMIAM,Town,Silver Membership,2017-12-07,?,CID56673,Credit/Debit Card Offers,Smartphone,Mobile_Data,19:16:19,7,113.03,1330.08,20.0,-7.327070685692887,No,Yes,Yes,No Information Available,Poor Customer Service,0
8474,31,F,XIM6R3I,Village,Basic Membership,2016-06-03,?,xxxxxxxx,Credit/Debit Card Offers,Smartphone,Wi-Fi,16:40:10,14,33.73,45703.69,24.0,514.46,Yes,No,Yes,Unsolved,Poor Customer Service,1
8475,52,M,C1X88WO,,Basic Membership,2015-12-04,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,12:23:39,11,108.17,8272.55,7.0,557.27,Yes,No,No,Not Applicable,Poor Product Quality,1
8476,53,M,PPO34WK,Town,Premium Membership,2017-10-19,No,xxxxxxxx,Without Offers,Desktop,Fiber_Optic,12:13:19,5,100.64,3851.34,8.0,,Yes,No,No,Not Applicable,Poor Customer Service,0
8477,43,M,FUATWR3,City,Basic Membership,2016-06-04,Yes,CID12893,Credit/Debit Card Offers,Smartphone,Mobile_Data,02:26:15,8,229.86,44168.84,Error,689.91,Yes,No,No,Not Applicable,Poor Website,1
8478,36,M,J2ALKH8,Town,Platinum Membership,2017-03-11,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,19:19:58,8,361.46,31468.59,23.0,1208.3563351863302,No,Yes,No,Not Applicable,Too many ads,0
8479,11,M,USUAFUH,Town,Platinum Membership,2016-01-16,Yes,CID36112,Without Offers,?,Fiber_Optic,13:05:45,5,40.98,41543.65,18.0,784.57,Yes,No,No,Not Applicable,Poor Customer Service,0
8480,48,M,7AG0M91,City,No Membership,2015-11-08,No,xxxxxxxx,Without Offers,Smartphone,Fiber_Optic,08:58:28,11,69.83,26820.8,18.0,,No,Yes,No,Not Applicable,No reason specified,1
8481,51,F,6RV5I6F,Town,Premium Membership,2015-08-27,No,xxxxxxxx,Without Offers,Smartphone,Mobile_Data,22:12:58,15,339.58,46725.9,12.0,764.13,Yes,No,No,Not Applicable,Poor Customer Service,0
8482,39,M,E1C0K17,Village,No Membership,2016-05-27,?,CID60523,Gift Vouchers/Coupons,Smartphone,Mobile_Data,22:45:06,14,804.4544133236682,18718.98,47.154964623772464,,Yes,No,No,Not Applicable,Too many ads,1
8483,53,F,4BQ5IYM,,Platinum Membership,2016-08-25,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Wi-Fi,00:30:20,13,458.1,14081.95,8.0,999.5027014488296,Yes,No,Yes,No Information Available,No reason specified,0
8484,19,M,12QDWXP,City,Silver Membership,2017-03-27,Yes,CID44197,Credit/Debit Card Offers,Smartphone,Fiber_Optic,12:07:52,-999,118.68,41551.49,6.0,717.27,Yes,No,No,Not Applicable,Poor Customer Service,0
8485,25,F,P53XSSB,,Silver Membership,2017-11-21,No,xxxxxxxx,Credit/Debit Card Offers,?,Fiber_Optic,00:09:44,9,103.28,21898.1,6.0,757.2,Yes,No,No,Not Applicable,Poor Product Quality,0
8486,21,F,2G8RRLX,City,Basic Membership,2015-06-26,?,CID62722,Without Offers,Desktop,Fiber_Optic,04:17:15,15,130.29,26499.78,27.0,536.32,Yes,No,No,Not Applicable,Poor Customer Service,1
8487,45,F,GWM8QL4,,Basic Membership,2017-12-30,Yes,CID32733,Without Offers,Smartphone,Fiber_Optic,21:13:16,-999,-710.3809298475239,12541.05,18.0,546.09,No,Yes,Yes,No Information Available,Too many ads,1
8488,34,M,MKV7JKR,,Gold Membership,2015-03-11,Yes,CID4230,Without Offers,Smartphone,Fiber_Optic,12:30:12,19,72.84,56654.09,1.0,839.81,Yes,No,No,Not Applicable,Reasonable Price,0
8489,30,F,XI6UCUE,,Gold Membership,2017-05-24,No,xxxxxxxx,Without Offers,Smartphone,Wi-Fi,03:30:32,1,51.14,30416.2,29.0,737.34,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,0
8490,17,F,0RVDXEG,Town,Silver Membership,2015-08-08,Yes,CID63211,Credit/Debit Card Offers,Desktop,Mobile_Data,18:31:33,10,123.71,12867.42,29.0,1008.6606093736232,Yes,No,Yes,Solved in Follow-up,No reason specified,1
8491,60,F,EMD6CO7,,Basic Membership,2016-07-05,Yes,CID7227,Credit/Debit Card Offers,Both,Wi-Fi,15:11:34,7,367.8,2450.21,-14.746068650945581,658.48,Yes,Yes,Yes,Solved in Follow-up,Poor Website,1
8492,61,M,JENEOEM,Village,Gold Membership,2017-12-15,?,xxxxxxxx,Without Offers,Desktop,Wi-Fi,05:27:00,10,120.95,26773.15,28.0,633.58,No,Yes,No,Not Applicable,Poor Website,1
8493,61,M,ID5RGTY,Town,Basic Membership,2017-02-21,No,xxxxxxxx,Gift Vouchers/Coupons,Desktop,Mobile_Data,10:58:19,8,32.63,28176.57,Error,600.29,No,Yes,No,Not Applicable,No reason specified,1
8494,33,F,CW7EJXF,Town,Premium Membership,2016-02-22,No,xxxxxxxx,Without Offers,Desktop,Wi-Fi,04:12:26,8,98.35,33817.9,19.0,,Yes,No,Yes,No Information Available,Poor Website,0
8495,57,F,123O91Z,City,Platinum Membership,2015-11-27,Yes,CID34848,Without Offers,Desktop,Mobile_Data,05:44:44,1,1358.8,35017.86,12.0,,Yes,Yes,Yes,Solved,User Friendly Website,0
8496,50,F,FY6Z7D6,City,Platinum Membership,2016-04-10,No,xxxxxxxx,Credit/Debit Card Offers,Desktop,Wi-Fi,17:57:12,12,414.71,50327.58,13.0,,No,Yes,No,Not Applicable,Quality Customer Care,0
8497,62,M,Q4UZLA3,City,Basic Membership,2016-08-16,No,xxxxxxxx,Credit/Debit Card Offers,?,Wi-Fi,07:51:16,-999,105.87,24623.98,19.0,526.57,Yes,No,No,Not Applicable,Poor Customer Service,1
8498,29,F,QKCAJ3G,Town,Gold Membership,2016-03-13,Yes,CID23978,Credit/Debit Card Offers,Desktop,Wi-Fi,23:46:48,23,330.85,49116.5,22.0,713.81,No,Yes,Yes,Solved,Poor Customer Service,1
8499,15,F,AO11J8F,Village,Platinum Membership,2017-05-29,?,CID31483,Gift Vouchers/Coupons,Desktop,Fiber_Optic,17:38:16,17,344.19,38719.52,17.0,825.5,Yes,Yes,No,Not Applicable,Quality Customer Care,0
8500,38,F,HJS0RPX,City,Basic Membership,2016-02-08,Yes,CID32224,Without Offers,?,Wi-Fi,22:38:58,21,67.26,8945.1,13.0,,No,Yes,No,Not Applicable,Poor Website,1
8501,29,M,7CFL78R,Town,Gold Membership,2015-07-10,No,xxxxxxxx,Credit/Debit Card Offers,Both,Mobile_Data,01:50:14,-999,446.55,29607.07,8.0,660.2,Yes,No,Yes,No Information Available,No reason specified,1
8502,19,M,2PR9HXR,City,Basic Membership,2016-03-20,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Mobile_Data,12:02:51,13,178.7,29803.23,24.0,270.2373110103676,No,Yes,Yes,Solved,Poor Product Quality,1
8503,13,M,MVFR3WZ,City,Silver Membership,2017-02-05,No,xxxxxxxx,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,04:48:01,-999,68.09,16314.2,10.0,691.7,No,Yes,Yes,No Information Available,Poor Customer Service,1
8504,48,F,U5Q9SDH,City,No Membership,2017-12-28,Yes,CID35572,Without Offers,Smartphone,Mobile_Data,01:38:29,8,57.99,26382.01,22.0,581.47,No,Yes,No,Not Applicable,No reason specified,1
